molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1401841,COc1ccc2nc3cccc(OC)c3nc2c1,Inactive,240.262,2.8002,0,4,4
CHEMBL1608853,O=C(O)c1ccc2c(c1)C(=O)/C(=C\c1ccco1)C2=O,Inactive,268.224,2.4404,1,4,4.90974194706868
CHEMBL1429799,O=C1NN(c2ccccc2)C(=O)/C1=C\c1ccccc1OCC(=O)N1CCOCC1,Inactive,407.426,1.3856,1,5,4
CHEMBL246446,O=C(O)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,Inactive,306.277,3.848,1,5,4.29268536641129
CHEMBL1383455,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3n2C)c(Cl)c1=O,Inactive,372.772,2.36698,0,8,4
CHEMBL1485159,C[n+]1c2ccccc2nc2ccc(NCCO)cc21.[O-][Cl+3]([O-])([O-])[O-],Inactive,254.313,1.6167,2,3,4.72955409198204
CHEMBL1383611,C=CCOc1c(Br)cc(/C=C2/C(=O)ON=C2C)cc1OC,Inactive,352.184,3.3386,0,5,4
CHEMBL1730401,Nc1cccc2c(O)cc(S(=O)(=O)O)cc12,Inactive,239.252,1.3743,3,4,4.36916548217195
CHEMBL1440986,O=C(Nc1ccccc1C(=O)O)c1cccc(C(=O)Nc2ccccc2C(=O)O)c1,Inactive,404.378,3.5876,4,4,4.26042765554991
CHEMBL3194058,CCOc1cc(/C=N/NC2=NC(=O)C(CC(=O)O)S2)ccc1OCc1ccc(Cl)cc1,Inactive,461.927,3.7139,2,7,4.31930197030237
CHEMBL66953,O=c1c(O)cccc2cc(O)c(O)c(O)c12,Inactive,220.18,1.0224,4,5,4.91399629438162
CHEMBL1586109,COC(=O)c1ccc(N2NC(=O)/C(=C/c3cc(OC)c(OC)c(OC)c3)C2=O)cc1,Inactive,412.398,1.9604,1,7,4.33133458454551
CHEMBL3194143,O=C(O)c1ccc(Cl)c(-c2ccc(/C=N/NC(=O)C(O)(c3ccccc3)c3ccccc3)o2)c1,Inactive,474.9,4.6844,3,5,4.28802414564824
CHEMBL1318358,O=C(CN1C(=O)/C(=C2/SC(=S)N(CCS(=O)(=O)O)C2=O)c2ccccc21)Nc1cccc(C(F)(F)F)c1,Inactive,571.58,3.1499,2,7,4.45185636256515
CHEMBL1373390,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,Inactive,343.338,3.9038,2,4,4
CHEMBL173530,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,Inactive,386.312,2.31634,2,9,4.14770303417308
CHEMBL1310601,CC(=C\c1ccccc1)/C=C1/SC(=S)N(C(C(=O)O)C(C)C)C1=O,Inactive,361.488,3.9433,1,4,4.46737299877111
CHEMBL305978,c1coc(-c2nc3ccccc3nc2-c2ccco2)c1,Inactive,262.268,4.1498,0,4,4
CHEMBL1730252,Cc1cc(=O)c2c(o1)C(=O)c1occc1C2=O,Inactive,230.175,1.31662,0,5,4.20488501436964
CHEMBL1492106,CC(C)OP(=O)(OC(C)C)C1(NS(=O)(=O)c2ccc(Cl)cc2)C=C(Cl)C(=O)C(Cl)=C1,Inactive,516.767,5.1858,1,6,4.00313823150933
CHEMBL1877709,O=C(O)c1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,Inactive,438.486,3.8166,2,6,4.23589862352377
CHEMBL1730100,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1O,Inactive,300.266,1.0773,4,6,4.57642648026727
CHEMBL3195434,COc1c(OC(C)=O)ccc(/C=N\NC(=O)c2ccc(Br)cc2)c1[N+](=O)[O-],Inactive,436.218,3.0551,1,7,4.01547268665621
CHEMBL1605379,CCc1ccc(N2C(=O)c3sc4nnc(-c5ccccc5)c(=O)n4c3C2=O)cc1,Inactive,402.435,3.181,0,7,4.31398970868472
CHEMBL1440977,NNc1cc([N+](=O)[O-])cc2c1c(=O)n(Cc1ccccc1)[s+]2[O-],Inactive,332.341,1.9712,2,7,4.19811629287476
CHEMBL1597427,CCOc1cc(CNc2ccc(N3CCCC3)cc2)cc(Cl)c1OC,Inactive,360.885,4.9596,1,4,4.31695296176115
CHEMBL1430159,COc1ccc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1CO,Inactive,428.525,3.4199,1,6,4.33913452199613
CHEMBL3196407,Cn1c(/N=C/c2c(O)ccc3ccccc23)nc2ccccc21,Intermediate,301.349,4.1827,1,4,5.01772876696043
CHEMBL1508598,CCOc1cc(/C=C2\C(=O)ON=C2c2ccccc2)ccc1OC,Inactive,323.348,3.4384,0,5,4.56671031480498
CHEMBL512216,Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O,Inactive,271.276,0.9379,2,5,4.73282827159699
CHEMBL1374578,O=C(O)c1ccccc1C(=O)c1ccc(Sc2ccc(Cl)cc2)c([N+](=O)[O-])c1,Inactive,413.838,5.3286,1,5,4.45481663178459
CHEMBL1547715,O=C1NC(=O)C(=Cc2ccc3ccccc3c2)C(=O)N1,Inactive,266.256,1.5892,2,3,4.29413628771608
CHEMBL1730762,COC1=CC(=O)C(C2CC(=O)c3c(O)cc(O)cc3O2)=CC1=O,Intermediate,316.265,1.0401,2,7,5.03479829897409
CHEMBL1531656,O=C(O)c1cc(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])ccc1O,Intermediate,350.674,2.9318,3,8,5.06803388527183
CHEMBL1310865,CCOc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1,Intermediate,433.507,3.9216,3,6,5.12551818230053
CHEMBL1711303,Cc1ccc(SC2=C(N(C)C)C(=O)c3ccccc3C2=O)cc1,Inactive,323.417,3.93952,0,4,4.18735398376688
CHEMBL1334452,O=C(NCCO)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,Inactive,349.346,2.8719,2,6,4.16966800654804
CHEMBL1476673,COc1cc(/C=C2\SC(=S)N(CCCCC(=O)O)C2=O)ccc1OS(=O)(=O)c1ccc(C)cc1,Inactive,521.638,4.22742,1,8,4.4000078224159
CHEMBL1390702,CSC1=NSC2=NC(=O)/C(=C\c3c[nH]c4ccccc34)C(=N)N12,Inactive,341.421,3.10757,2,5,4
CHEMBL1322139,CC(=O)n1cc(C=C2C(=O)NC(=O)NC2=O)c2ccccc21,Inactive,297.27,1.0508,2,5,4.36855623098683
CHEMBL3144954,O=c1c(Sc2ccccc2)c(C(F)(F)F)[nH]n1-c1ccccc1,Inactive,336.338,4.3356,1,3,4.22519116968929
CHEMBL1480398,Cc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],Inactive,433.526,4.19712,0,7,4.53165266958784
CHEMBL1602234,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(F)cc3)c2)SC1=S,Inactive,403.456,3.6905,1,5,4.3707943428977
CHEMBL1334552,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccccc1Cl,Inactive,327.167,1.9958,0,4,4.63320361671327
CHEMBL1350958,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1ccc(-c2nc3cc(Cl)ccc3o2)cc1,Inactive,468.896,6.7657,2,4,4.26736503246081
CHEMBL1558809,Cc1ccc(N2C(=O)NC(=O)/C(=C/c3ccc(OC(=O)c4cccs4)cc3)C2=O)cc1,Inactive,432.457,3.94212,1,6,4.25688237478526
CHEMBL1430245,COc1ccc(/C=C2/SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,Inactive,420.537,3.09832,1,6,4.24504041227829
CHEMBL1423198,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(C(=O)O)cc2)o1)c1c(C)n[nH]c1O,Inactive,394.387,3.29924,5,6,4.0369681249461
CHEMBL1390936,CCOC(=O)c1c(-c2ccc(C)c(C)c2)csc1NC(=O)C1CC=CCC1C(=O)O,Inactive,427.522,4.81414,2,5,4.36191027801549
CHEMBL3145017,CCc1c(C)[nH]n(-c2ccc(Oc3ccccc3)c(S(=O)(=O)O)c2)c1=O,Inactive,374.418,3.07542,2,5,4.07324609481026
CHEMBL1406745,Cc1ccc(C2C(C(=O)c3ccc(Br)cc3)=C(O)C(=O)N2Cc2ccco2)o1,Inactive,442.265,4.72202,1,5,4
CHEMBL1469314,O=C1NC(=O)C(=Cc2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)C(=O)N1,Inactive,353.29,2.1365,2,6,4.46218090492673
CHEMBL1547740,O=C(O)CCCN1C(=O)/C(=C\c2ccccc2OCc2ccccc2)SC1=S,Inactive,413.52,4.3316,1,5,4.4356890900394
CHEMBL1410383,COC(=O)CCC(=O)OC1(C)C(=O)C2=CN(C3CC3)C(c3ccc(OC)cc3)=CC2=C(Br)C1=O,Inactive,530.371,3.4539,0,8,4
CHEMBL1602380,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(Cl)c(Cl)c3)CC=C(C(=O)O)[C@@H]2c2cccc(Cl)c2)cc1,Inactive,536.864,6.84322000000001,1,3,4.2373964504332
CHEMBL1597458,Cl.O=C(Nc1cc(S(=O)(=O)N2CCCCC2)ccc1O)c1ccccc1NS(=O)(=O)c1ccc(F)cc1,Inactive,533.603,3.759,3,6,4.16832215080853
CHEMBL1413174,CCCCOc1ccc(Nc2cc(Cl)ccc2C(=O)O)cn1,Inactive,320.776,4.3557,2,4,4.22344408929674
CHEMBL1383957,CC1=NOC(=O)/C1=C\c1ccc2c(c1)OCO2,Intermediate,231.207,1.7314,0,5,5.1444808443322
CHEMBL1901559,N#CC(=C1C=C(Br)C(=NO)C=C1Cl)c1ccc(Cl)cc1,Inactive,370.033,4.86248,1,3,4.20453710560962
CHEMBL1333593,COc1cc(C(=O)Nc2scc(-c3ccc(Br)cc3)c2C(=O)O)cc(OC)c1OC,Inactive,492.347,5.1539,2,6,4.23687162320086
CHEMBL1402117,Oc1nc(S)nc2c1C(c1ccc(Br)cc1)c1c(O)nc(S)nc1O2,Inactive,437.3,3.3036,4,9,4.13247358880026
CHEMBL1469489,O=C(O)CCN1C(=O)/C(=C\c2cccc(OCC(=O)Nc3ccc(Cl)cc3)c2)SC1=S,Inactive,476.963,4.0334,2,6,4.45667709935309
CHEMBL1519860,O=C1NC(=S)NC(=O)C12C(c1ccccc1)N=C(S)NC2c1ccccc1,Inactive,396.497,1.8753,4,5,4.15876570449396
CHEMBL1327479,Cc1ccc(S(=O)(=O)NN2C(=O)/C(=C/c3cccc(F)c3)SC2=S)cc1,Inactive,408.501,3.22882,1,5,4.56607023439154
CHEMBL1609490,O=[N+]([O-])c1ccc(-[n+]2ccc3ccccc3c2)c([N+](=O)[O-])c1.[Cl-],Inactive,296.262,2.9329,0,4,4
CHEMBL1362734,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3cc(C(F)(F)F)ccc3s2)c(Cl)c1=O,Inactive,443.794,4.10878,0,8,4.24033215531037
CHEMBL1731022,CSc1nc(O)c(C(c2ccc(OC(C)C)cc2)c2c(O)nc(SC)nc2O)c(O)n1,Inactive,462.553,3.5002,4,11,4.48333244090096
CHEMBL3191525,COc1ccc2c(c1)-c1nc(/N=C/c3c(O)ccc4ccccc34)sc1CC2,Intermediate,386.476,5.5267,1,5,5.20411998265593
CHEMBL1579562,O=C1C(Cl)=C(N2CCCC2)C(=O)N1c1ccccc1F,Inactive,294.713,2.2451,0,3,4.07365755337435
CHEMBL1730974,O=S(=O)(O)c1ccc(O)c2cc(Nc3ccccc3)ccc12,Inactive,315.35,3.5357,3,4,4.69810228280479
CHEMBL1441315,Cc1cc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)ccc1F,Inactive,335.312,2.05062,0,5,4
CHEMBL1563712,CN1C(=O)NC(=O)/C(=C/c2ccc([N+](=O)[O-])s2)C1=O,Inactive,281.249,0.7479,1,6,4.7594507517174
CHEMBL1878916,O=C(O)CN1C(=O)C=CC1=O,Inactive,155.109,-1.004,1,3,4
CHEMBL1469463,Cc1ccccc1N1C(=O)NC(=O)/C(=C\c2cnn(-c3ccccc3)c2)C1=O,Inactive,372.384,2.84712,1,5,4
CHEMBL1311185,O=C(Nc1ccccc1)C1=C(c2ccccc2)S(=O)(=O)CCS1(=O)=O,Inactive,377.443,1.8371,1,5,4
CHEMBL234338,O=c1cc(-c2ccc(O)cc2)oc2c(O)c(O)c(O)c(O)c12,Inactive,302.238,1.988,5,7,4
CHEMBL1311109,CC(C)(C)c1ccc(C(=O)CC(Sc2ccc(Cl)cc2)C(=O)O)cc1,Inactive,376.905,5.4558,1,3,4.41930306028756
CHEMBL3212315,COc1ccc(/C=c2\sc3nc(=O)c(C)nn3c2=O)c(OC)c1,Inactive,331.353,0.38452,0,8,4.65639449189583
CHEMBL1327390,CCOc1ccc(/C=C2\SC(=S)N(CCC(=O)Nc3ccccc3C(=O)O)C2=O)cc1,Inactive,456.545,4.0135,2,6,4.53357727756621
CHEMBL3193134,O=C(CCN1CCN(c2ccccc2)CC1)N/N=C/c1ccc(O)c(O)c1O,Inactive,384.436,1.4658,4,7,4.52201102374911
CHEMBL1711432,COc1cc(NCCCCCCN)c2ncccc2c1OC,Inactive,303.406,3.183,2,5,4
CHEMBL1311053,CCc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],Inactive,447.553,4.45110000000001,0,7,4.78595132058806
CHEMBL1590814,Cc1oc2c(C)c3oc(=O)c(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc4ccccc4)C(=O)O)c(C)c3cc2c1C,Inactive,560.647,4.65838,3,6,4.1391232035967
CHEMBL1711524,Cc1ccc([C@@H]2CC=C(C(=O)O)[C@H](c3ccc(Br)cc3)N2S(=O)(=O)c2ccccc2C)cc1,Inactive,526.452,5.95394000000001,1,3,4.46903231842809
CHEMBL1492642,CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccc(C)cc2)C1=O)=C\c1ccccc1,Inactive,430.576,4.03602,1,5,4.56735133998689
CHEMBL1712164,CC(C)c1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,Inactive,334.803,2.4658,0,4,4.15876570449396
CHEMBL1391235,COc1cc(O)cc2cc3c(c(O)c12)C(=O)CC(C)(O)O3,Inactive,290.271,1.9333,3,6,4.41861931129001
CHEMBL1879156,Cc1ccc(S(=O)(=O)Oc2ccccc2C=C2C(=O)NC(=O)NC2=O)cc1,Inactive,386.385,1.51212,2,6,4.43474265657979
CHEMBL1712082,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,Inactive,450.619,6.69770000000001,2,3,4.70641648650388
CHEMBL1384008,O=C(c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1)c1ccc(C(=O)O)c(C(=O)O)c1,Inactive,479.488,5.0846,3,4,4.23927602785805
CHEMBL1449334,CSc1nnc(-c2ccco2)c(-c2ccco2)n1,Inactive,259.29,3.1135,0,6,4.06128018521762
CHEMBL1327612,COc1cccc(/C=C/c2nc(O)nc(O)c2[N+](=O)[O-])c1O,Inactive,305.246,1.6806,3,8,4.13984173868172
CHEMBL1469698,COc1ccc(C(=O)c2coc3c2C(=O)C(=O)c2ccccc2-3)cc1,Inactive,332.311,3.5652,0,5,4.46230680563261
CHEMBL1900163,CCN(CCCNc1cc2c(c(N)c1S(=O)(=O)O)C(=O)c1ccccc1C2=O)c1ccccc1,Inactive,479.558,3.6194,3,7,4.50072541810778
CHEMBL1587073,CCCCN(CCCC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,Inactive,369.461,4.72800000000001,2,4,4.35575841415627
CHEMBL1462469,COc1ccc(-c2csc(NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)n2)cc1,Inactive,486.6,4.86924,2,9,4.03301397488206
CHEMBL1541029,C=CCOc1cccc(C2C(C(=O)c3cc4ccccc4o3)=C(O)C(=O)N2c2cc(C)on2)c1,Inactive,456.454,5.07692000000001,1,7,4.31318504549268
